最終通信日時,デバイス名,管理番号,物件名,環境,"状態
",Ver.,バッテリー,温度,音量,天気,気温,明るさ,バッテリー健全性,電流入出力,端末モデル,IMEI,ライセンス認証ステータス,再生チャンネル,ネットワーク,左上プレビュー表示,ネットワーク環境,オフライン率,SD録画保存日,SD録画保存日,設置完了日時,ブート日時,アプリ起動日時,初期設定日時
2019-11-20 10:00:09(8分前),002028,AN2-130,上林記念病院,本番中,正常,2.0.00,100%,29.5℃,0%,曇,9℃,50,良好,0,Lenovo TAB4 SIM,,,sample_channel,4G:2本,表示,通常,78%,2019-11-16,,2019-10-18 10:12:52(1ヶ月前),2019-11-12 15:55:35(1週間前),2019-11-12 15:56:26(1週間前),2019-06-20 14:47:24(4ヶ月前)
2019-11-20 10:00:09(8分前),010013,HK7-100,エンドレス三井北16条,本番中,正常,2.0.00,100%,11.7℃,20%,雪,-5℃,90,不明,流出 6mAh,Lenovo TAB4 SIM,,,sample_channel,4G:4本,表示,通常,86%,2019-11-16,,2019-11-01 10:21:21(2週間前),2019-11-01 10:18:37(2週間前),2019-11-01 10:55:11(2週間前),2019-07-11 10:51:49(4ヶ月前)
2019-11-20 10:00:09(8分前),001921,GI-247,高齢者介護施設 グッデイすぎない,本番中,正常,3.0.20,100%,25℃,40%,曇,13℃,50,良好,流出 3mAh,Lenovo TAB4 SIM,866423030792268,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,72%,2019-11-17,,2019-09-27 15:10:32(1ヶ月前),2019-10-19 23:19:39(1ヶ月前),2019-11-07 09:14:02(1週間前),2019-05-23 11:55:33(5ヶ月前)
2019-11-20 10:00:09(8分前),010015,ST2-646,シオミプラザファースト,本番中,正常,3.0.20,100%,20.2℃,40%,晴,11℃,40,良好,0,Lenovo TAB4 SIM,866423030752429,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,49%,2019-11-17,,2019-09-13 13:00:48(2ヶ月前),2019-10-25 00:21:16(3週間前),2019-11-15 07:54:29(5日前),2019-07-11 10:57:19(4ヶ月前)
2019-11-20 10:00:10(8分前),010191,ST2-603,ダイサンコーポ本町,本番中,正常,3.0.20,100%,23℃,20%,曇,10℃,50,良好,流出 6mAh,Lenovo TAB4 SIM,866423030791658,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,41%,2019-11-17,,2019-10-03 09:09:34(1ヶ月前),2019-11-19 14:07:37(20時間前),2019-11-19 14:08:25(20時間前),2019-08-30 10:25:46(2ヶ月前)
2019-11-20 10:00:11(8分前),001386,SI1-930,由比港漁業協同組合,本番中,正常,3.0.20,100%,24℃,40%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030674656,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-06-24 12:21:13(4ヶ月前),2019-10-06 07:30:47(1ヶ月前),2019-10-26 17:06:36(3週間前),2019-04-09 14:05:34(7ヶ月前)
2019-11-20 10:00:11(8分前),000643,AN1-168,IST猪子石102,本番中,正常,3.0.20,100%,19.5℃,40%,曇,10℃,50,良好,流出 2mAh,Lenovo TAB4 SIM,866423030633835,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-02-22 13:05:28(8ヶ月前),2019-11-05 06:48:42(2週間前),2019-11-11 16:55:28(1週間前),2019-01-28 13:42:18(9ヶ月前)
2019-11-20 10:00:13(8分前),001832,AN2-987,パブリックサイド71,本番中,正常,3.0.20,100%,20.7℃,40%,曇,9℃,50,良好,0,Lenovo TAB4 SIM,866423030676164,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-08-13 09:54:31(3ヶ月前),2019-10-13 00:38:08(1ヶ月前),2019-10-31 11:18:41(2週間前),2019-04-19 14:28:57(7ヶ月前)
2019-11-20 10:00:13(8分前),002117,AN2-278,愛知学泉大学 岡崎学舎,本番中,正常,3.0.20,100%,25.5℃,20%,雨,10℃,40,良好,0,Lenovo TAB4 SIM,866423030920851,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-08-07 14:43:46(3ヶ月前),2019-11-01 01:44:04(2週間前),2019-11-09 08:32:43(1週間前),2019-06-28 10:27:14(4ヶ月前)
2019-11-20 10:00:14(8分前),001677,OS1-071,GSハイム中之島,本番中,正常,3.0.20,100%,21.2℃,20%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030800715,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-06-19 15:46:20(5ヶ月前),2019-11-15 00:24:39(5日前),2019-11-15 00:25:31(5日前),2019-04-17 11:11:29(7ヶ月前)
2019-11-20 10:00:15(8分前),001376,E1-097,TIT秋葉原,本番中,正常,3.0.20,100%,22.2℃,40%,曇,11℃,50,良好,流出 5mAh,Lenovo TAB4 SIM,866423030798877,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-04-18 14:07:38(7ヶ月前),2019-11-15 06:31:25(5日前),2019-11-15 06:32:18(5日前),2019-04-09 11:50:38(7ヶ月前)
2019-11-20 10:00:16(8分前),000995,X4-039,アサヒビル,本番中,正常,3.0.20,100%,25.5℃,40%,晴,12℃,50,良好,0,Lenovo TAB4 SIM,866423030613704,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-07-03 19:11:03(4ヶ月前),2019-11-18 13:46:58(1日前),2019-11-18 13:47:45(1日前),2019-02-26 11:52:58(8ヶ月前)
2019-11-20 10:00:16(8分前),010553,Z2-082,プログレス桜台,本番中,正常,3.0.20,100%,23.2℃,0%,曇,14℃,50,良好,0,Lenovo TAB4 SIM,866423030759796,正常,sample_channel,4G:3本,表示,通常,0%,2019-11-17,,2019-11-01 16:10:18(2週間前),2019-11-01 15:20:00(2週間前),2019-11-16 05:23:16(4日前),2019-10-23 10:00:22(4週間前)
2019-11-20 10:00:16(8分前),000722,OS-622,ギャザリアパーチェ,本番中,正常,3.0.20,100%,22℃,20%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030633710,不正,201909_mitsubachi-einekleine,4G:1本,表示,通常,0%,2019-11-17,,2019-02-07 15:52:26(9ヶ月前),2019-11-18 15:07:47(1日前),2019-11-20 01:12:26(8時間前),2019-02-01 13:43:11(9ヶ月前)
2019-11-20 10:00:17(8分前),002118,AN2-273,愛知学泉大学 岡崎学舎,本番中,正常,3.0.20,100%,22.7℃,20%,曇,11℃,40,良好,0,Lenovo TAB4 SIM,866423030920927,正常,201909_mitsubachi-einekleine,3G:0本,表示,通常,0%,2019-11-17,,2019-08-07 11:06:31(3ヶ月前),2019-11-20 07:03:39(3時間前),2019-11-20 07:04:33(3時間前),2019-06-28 10:28:18(4ヶ月前)
2019-11-20 10:00:18(8分前),001795,HK4-968,メゾンラフォーネ,本番中,正常,3.0.20,100%,14.5℃,20%,雪,-3℃,50,不明,0,Lenovo TAB4 SIM,866423030669367,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-07-24 14:52:15(3ヶ月前),2019-11-18 19:56:03(1日前),2019-11-18 19:56:56(1日前),2019-04-19 11:17:29(7ヶ月前)
2019-11-20 10:00:19(8分前),001922,SI2-151,KOAビル,本番中,正常,3.0.20,100%,24.2℃,40%,曇,12℃,50,良好,流出 7mAh,Lenovo TAB4 SIM,866423030791898,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,73%,2019-11-17,,2019-10-02 13:08:37(1ヶ月前),2019-11-19 01:00:31(1日前),2019-11-19 01:01:17(1日前),2019-05-23 11:58:34(5ヶ月前)
2019-11-20 10:00:19(8分前),000439,AN-636,レインボーピア上小田井,本番中,正常,3.0.20,100%,22℃,40%,曇,9℃,50,良好,流出 838mAh,Huawei T3 10,868355036542909,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2018-12-28 10:25:02(10ヶ月前),2019-11-07 20:30:25(1週間前),2019-11-07 20:32:25(1週間前),2018-11-29 13:23:41(11ヶ月前)
2019-11-20 10:00:20(8分前),000848,AN1-658,パルネス1号館,本番中,正常,3.0.20,100%,27.7℃,40%,曇,9℃,50,良好,流出 9mAh,Lenovo TAB4 SIM,866423030627654,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-02-27 11:31:09(8ヶ月前),2019-11-16 06:01:47(4日前),2019-11-16 06:02:35(4日前),2019-02-08 11:41:32(9ヶ月前)
2019-11-20 10:00:20(8分前),000976,AN1-991,ハピネス中駒南三条,本番中,正常,3.0.20,100%,21.7℃,40%,曇,9℃,50,良好,流出 11mAh,Lenovo TAB4 SIM,866423030610882,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-05-15 16:42:38(6ヶ月前),2019-11-10 12:36:38(1週間前),2019-11-18 01:02:15(2日前),2019-02-25 15:10:20(8ヶ月前)
2019-11-20 10:00:20(8分前),010588,X4-614,エクセルシオール福生,本番中,正常,3.0.20,100%,23.2℃,40%,曇,11℃,50,良好,流出 6mAh,Lenovo TAB4 SIM,866423030763665,正常,sample_channel,4G:4本,表示,通常,0%,2019-11-17,,2019-10-31 13:48:42(2週間前),2019-11-18 02:34:09(2日前),2019-11-18 02:35:04(2日前),2019-10-26 09:38:36(3週間前)
2019-11-20 10:00:20(8分前),001869,GI-480,ポレール梅林,本番中,正常,3.0.20,100%,20.7℃,40%,曇,12℃,50,良好,流出 2mAh,Lenovo TAB4 SIM,866423030796129,正常,sample_channel,4G:4本,表示,通常,85%,2019-11-17,,2019-10-23 15:13:03(3週間前),2019-10-23 14:28:20(3週間前),2019-10-24 13:30:45(3週間前),2019-05-14 09:38:54(6ヶ月前)
2019-11-20 10:00:20(8分前),000563,O-367,グランフォークス森下,本番中,正常,3.0.20,100%,23℃,40%,曇,13℃,50,良好,充電 283mAh,Huawei T3 10,868355037429163,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-01-16 10:39:46(10ヶ月前),2019-11-12 18:30:23(1週間前),2019-11-13 13:14:32(6日前),2018-12-27 17:41:55(10ヶ月前)
2019-11-20 10:00:21(8分前),001395,AN-960,サンシティ畑江通,本番中,正常,3.0.20,100%,19.5℃,40%,曇,12℃,50,良好,流出 4mAh,Lenovo TAB4 SIM,866423030803636,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-06-24 10:04:59(4ヶ月前),2019-11-13 00:11:42(1週間前),2019-11-13 00:12:35(1週間前),2019-04-09 14:20:53(7ヶ月前)
2019-11-20 10:00:21(8分前),001189,Y4-404,グリーンサラウンドシティ,本番中,正常,3.0.20,100%,24.7℃,0%,曇,12℃,50,良好,0,Lenovo TAB4 SIM,866423030611773,正常,201909_mitsubachi-einekleine,圏外,表示,通常,0%,2019-11-17,,2019-04-04 11:33:54(7ヶ月前),2019-11-17 23:58:19(2日前),2019-11-20 10:00:08(8分前),2019-03-19 15:27:11(8ヶ月前)
2019-11-20 10:00:22(8分前),001498,AN-732,LIBERTE  ONO,本番中,正常,3.0.20,100%,20℃,40%,曇,9℃,50,良好,流出 6mAh,Lenovo TAB4 SIM,866423030673815,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-08-02 13:47:07(3ヶ月前),2019-10-21 13:34:23(4週間前),2019-11-10 09:26:08(1週間前),2019-04-12 11:13:54(7ヶ月前)
2019-11-20 10:00:22(8分前),000415,ST-115,イチカワビルⅢ,本番中,正常,3.0.20,100%,24℃,0%,曇,11℃,50,良好,充電 327mAh,Huawei T3 10,868355037429742,未取得,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-19,,2019-11-19 13:08:49(20時間前),2019-11-19 13:06:58(21時間前),2019-11-19 13:11:21(20時間前),2018-11-26 17:24:06(11ヶ月前)
2019-11-20 10:00:22(8分前),001218,AN2-850,Second KH BLDG.,本番中,正常,3.0.20,100%,22.5℃,0%,曇,12℃,50,良好,0,Lenovo TAB4 SIM,866423030610908,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-08-28 15:02:00(2ヶ月前),2019-11-05 17:13:25(2週間前),2019-11-12 11:23:05(1週間前),2019-03-19 16:05:19(8ヶ月前)
2019-11-20 10:00:22(8分前),001116,HK6-905,コロナード稲穂公園,本番中,正常,3.0.20,100%,15.7℃,20%,雪,-6℃,50,良好,0,Lenovo TAB4 SIM,866423030612615,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-05-10 13:35:30(6ヶ月前),2019-11-18 11:28:00(1日前),2019-11-18 11:28:53(1日前),2019-03-19 11:48:52(8ヶ月前)
2019-11-20 10:00:23(8分前),001846,S-236,プレール荻窪弐番館,本番中,正常,3.0.20,100%,24.2℃,40%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030789470,正常,201909_mitsubachi-einekleine,3G:0本,表示,通常,0%,2019-11-17,,2019-05-23 17:05:54(5ヶ月前),2019-11-16 22:52:01(3日前),2019-11-16 22:52:54(3日前),2019-05-08 14:12:54(6ヶ月前)
2019-11-20 10:00:24(8分前),010032,F-548,シースペース経堂,本番中,正常,3.0.20,100%,27.5℃,20%,曇,13℃,50,良好,流出 1mAh,Lenovo TAB4 SIM,866423030750795,不正,201909_mitsubachi-einekleine,3G:0本,表示,通常,0%,2019-11-17,,2019-10-11 10:17:10(1ヶ月前),2019-11-16 19:08:19(3日前),2019-11-16 19:09:14(3日前),2019-07-11 14:46:33(4ヶ月前)
2019-11-20 10:00:24(8分前),010362,J1-083,Kレジデンス浅草,本番中,正常,3.0.00,100%,23.2℃,40%,曇,14℃,50,良好,流出 2mAh,Lenovo TAB4 SIM,866423030752163,正常,sample_channel,4G:3本,表示,通常,0%,2019-11-17,,2019-11-07 12:46:05(1週間前),2019-11-07 12:43:27(1週間前),2019-11-07 12:48:08(1週間前),2019-09-26 16:32:59(1ヶ月前)
2019-11-20 10:00:25(8分前),0138,T-628,Yビル足立江北,本番中,正常,3.0.20,100%,29℃,40%,曇,13℃,50,良好,充電 152mAh,Huawei T3 10,868355032513086,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2018-10-01 14:08:55(1年前),2019-10-31 04:30:17(2週間前),2019-11-09 11:20:59(1週間前),2018-08-28 14:23:47(1年前)
2019-11-20 10:00:26(7分前),001769,Z6-527,川崎サイトシティ,本番中,正常,3.0.20,100%,26.5℃,40%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030676982,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-04-26 12:58:34(6ヶ月前),2019-11-18 07:11:06(2日前),2019-11-18 07:11:59(2日前),2019-04-18 16:43:51(7ヶ月前)
2019-11-20 10:00:28(7分前),000572,T-285,ライオンズマンション梅島第3,本番中,正常,3.0.20,95%,23℃,40%,曇,12℃,50,良好,充電 310mAh,Huawei T3 10,868355037432159,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-01-17 15:22:00(10ヶ月前),2019-10-19 08:50:17(1ヶ月前),2019-11-19 01:32:44(1日前),2018-12-28 14:50:15(10ヶ月前)
2019-11-20 10:00:28(7分前),001094,P-184,ベルスクエア本郷ビル,本番中,正常,3.0.20,100%,23.2℃,40%,曇,11℃,50,良好,流出 2mAh,Lenovo TAB4 SIM,866423030611070,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-04-23 16:21:41(6ヶ月前),2019-11-17 21:34:42(2日前),2019-11-17 21:35:35(2日前),2019-03-18 15:05:15(8ヶ月前)
2019-11-20 10:00:28(7分前),0125,U-535,第一昼川ビル,本番中,正常,3.0.20,95%,26℃,40%,曇,10℃,50,良好,充電 307mAh,Huawei T3 10,868355032511791,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2018-09-04 17:50:07(1年前),2019-09-06 06:29:48(2ヶ月前),2019-11-14 13:01:29(5日前),2018-08-28 12:25:26(1年前)
2019-11-20 10:00:28(7分前),001404,H-270,MYビル,本番中,正常,3.0.20,100%,22.7℃,20%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030677527,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-07-30 14:53:22(3ヶ月前),2019-11-08 21:15:07(1週間前),2019-11-08 21:16:03(1週間前),2019-04-10 10:42:30(7ヶ月前)
2019-11-20 10:00:28(7分前),001389,Y4-527,白牡丹ビル,本番中,正常,3.0.20,100%,22.7℃,40%,曇,12℃,50,良好,0,Lenovo TAB4 SIM,866423030799107,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-04-26 12:06:49(6ヶ月前),2019-11-18 11:36:39(1日前),2019-11-18 11:37:24(1日前),2019-04-09 14:10:44(7ヶ月前)
2019-11-20 10:00:29(7分前),000479,CB3-228,グレイスコート船橋,本番中,正常,3.0.20,100%,24℃,0%,曇,14℃,50,良好,流出 784mAh,Huawei T3 10,868355036542339,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-03-20 16:53:28(7ヶ月前),2019-11-14 08:20:02(6日前),2019-11-18 23:21:51(1日前),2018-12-03 16:47:26(11ヶ月前)
2019-11-20 10:00:30(7分前),000486,F1-065,スクエア三軒茶屋,本番中,正常,3.0.20,97%,25℃,40%,曇,11℃,50,良好,充電 301mAh,Huawei T3 10,868355036542750,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-02-05 12:22:24(9ヶ月前),2019-11-15 23:45:05(4日前),2019-11-15 23:46:15(4日前),2018-12-03 17:43:06(11ヶ月前)
2019-11-20 10:00:30(7分前),000238,G-747,弓削山崎共同ビル,本番中,正常,3.0.20,100%,27℃,20%,曇,14℃,50,良好,充電 293mAh,Huawei T3 10,868355032512906,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2018-10-18 16:13:53(1年前),2019-11-08 06:50:30(1週間前),2019-11-08 06:52:16(1週間前),2018-10-12 14:48:49(1年前)
2019-11-20 10:00:32(7分前),000492,E-276,メイクスデザイン秋葉原,本番中,正常,3.0.20,100%,27℃,0%,曇,11℃,50,良好,充電 159mAh,Huawei T3 10,868355036542958,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-01-10 11:36:33(10ヶ月前),2019-10-03 22:09:42(1ヶ月前),2019-11-19 10:07:35(1日前),2018-12-11 10:27:06(11ヶ月前)
2019-11-20 10:00:33(7分前),000769,C1-289,ヤハギ湊ビル,本番中,正常,3.0.20,100%,26℃,20%,曇,11℃,50,良好,流出 6mAh,Lenovo TAB4 SIM,866423030633645,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-03-06 16:22:23(8ヶ月前),2019-10-31 07:53:13(2週間前),2019-10-31 07:54:07(2週間前),2019-02-04 13:36:34(9ヶ月前)
2019-11-20 10:00:33(7分前),0133,L-489,フクラクマンション,本番中,正常,3.0.20,98%,24℃,40%,曇,11℃,50,良好,充電 111mAh,Huawei T3 10,868355032512211,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,1%,2019-11-17,,2018-09-05 17:49:53(1年前),2019-11-15 02:00:32(5日前),2019-11-19 20:44:36(13時間前),2018-08-28 13:59:23(1年前)
2019-11-20 10:00:34(7分前),000767,HK3-902,サザンステーション北大,本番中,正常,3.0.20,100%,14.7℃,0%,雪,-4℃,50,不明,0,Lenovo TAB4 SIM,866423030625211,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-02-19 10:06:27(9ヶ月前),2019-10-17 02:32:12(1ヶ月前),2019-10-17 02:33:13(1ヶ月前),2019-02-04 13:24:54(9ヶ月前)
2019-11-20 10:00:34(7分前),001609,X3-780,工学院大学 5号館,本番中,正常,3.0.20,100%,25.7℃,40%,曇,12℃,50,良好,流出 2mAh,Lenovo TAB4 SIM,866423030801648,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-08-27 15:28:16(2ヶ月前),2019-11-19 15:08:23(19時間前),2019-11-19 15:09:15(18時間前),2019-04-16 11:08:44(7ヶ月前)
2019-11-20 10:00:35(7分前),001174,AN-828,ファミール東海,本番中,正常,3.0.20,80%,19.7℃,40%,曇,9℃,50,良好,流出 673mAh,Lenovo TAB4 SIM,866423030612037,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-05-08 11:32:38(6ヶ月前),2019-11-17 20:30:55(2日前),2019-11-20 09:20:08(48分前),2019-03-19 14:51:22(8ヶ月前)
2019-11-20 10:00:36(7分前),010076,SI2-149,プライムステージ日乃出,本番中,正常,3.0.20,100%,22℃,0%,曇,13℃,50,良好,流出 4mAh,Lenovo TAB4 SIM,866423030752270,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-09-04 10:59:26(2ヶ月前),2019-11-09 02:49:57(1週間前),2019-11-09 02:50:49(1週間前),2019-07-16 10:53:40(4ヶ月前)
2019-11-20 10:00:37(7分前),002115,AN3-129,愛知学泉大学 岡崎学舎,本番中,正常,3.0.20,100%,25℃,20%,曇,12℃,50,良好,流出 14mAh,Lenovo TAB4 SIM,866423030921883,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-08-07 15:38:33(3ヶ月前),2019-11-05 06:42:40(2週間前),2019-11-05 06:43:35(2週間前),2019-06-27 13:31:09(4ヶ月前)
2019-11-20 10:00:37(7分前),000812,AN1-984,丸の内中駒ビル,本番中,正常,3.0.20,100%,21.7℃,40%,曇,9℃,50,良好,0,Lenovo TAB4 SIM,866423030627506,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-06-03 13:35:47(5ヶ月前),2019-11-11 00:57:35(1週間前),2019-11-11 00:58:21(1週間前),2019-02-06 16:28:10(9ヶ月前)
2019-11-20 10:00:37(7分前),010290,ST3-979,エクラシア蕨,本番中,正常,3.0.00,100%,28℃,20%,曇,13℃,50,良好,流出 4mAh,Lenovo TAB4 SIM,866423030743675,正常,sample_channel,4G:2本,表示,通常,0%,2019-11-17,,2019-10-23 15:15:50(3週間前),2019-11-12 14:17:52(1週間前),2019-11-12 14:18:46(1週間前),2019-09-24 13:20:19(1ヶ月前)
2019-11-20 10:00:38(7分前),0011,ST2-599,ドミール石塚,本番中,正常,3.0.20,100%,25℃,0%,曇,11℃,50,良好,流出 776mAh,Huawei T3 10,868355031053159,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-01-08 12:15:50(10ヶ月前),2019-11-07 12:10:33(1週間前),2019-11-17 03:27:51(3日前),2018-05-25 09:05:07(1年前)
2019-11-20 10:00:38(7分前),001109,AN2-571,プレジールメゾン旭,本番中,正常,3.0.20,100%,18.7℃,40%,曇,10℃,50,良好,流出 13mAh,Lenovo TAB4 SIM,866423030612151,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-05-30 12:42:37(5ヶ月前),2019-10-28 17:08:22(3週間前),2019-11-16 10:12:12(3日前),2019-03-19 11:18:21(8ヶ月前)
2019-11-20 10:00:38(7分前),010296,O-600,VILLA.1,本番中,正常,3.0.00,100%,23.2℃,40%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030751397,正常,sample_channel,4G:3本,表示,通常,0%,2019-11-17,,2019-10-28 16:31:21(3週間前),2019-11-18 05:55:45(2日前),2019-11-18 05:56:39(2日前),2019-09-24 13:55:26(1ヶ月前)
2019-11-20 10:00:38(7分前),001813,AN2-979,トラスト名駅ビル,本番中,正常,3.0.20,100%,23.2℃,40%,曇,9℃,50,良好,流出 7mAh,Lenovo TAB4 SIM,866423030677386,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-07-30 09:14:42(3ヶ月前),2019-11-20 08:39:06(1時間前),2019-11-20 08:39:53(1時間前),2019-04-19 13:10:00(7ヶ月前)
2019-11-20 10:00:39(7分前),001315,Z6-272,ザ・パークハウス追浜,本番中,正常,3.0.20,100%,25℃,40%,曇,13℃,50,良好,流出 3mAh,Lenovo TAB4 SIM,866423030675810,正常,201909_mitsubachi-einekleine,3G:0本,表示,通常,0%,2019-11-17,,2019-04-24 14:09:59(6ヶ月前),2019-11-13 14:49:09(6日前),2019-11-13 14:50:02(6日前),2019-04-01 10:52:51(7ヶ月前)
2019-11-20 10:00:39(7分前),002003,M-311,リバティーハイム錦糸町,本番中,正常,2.0.00,100%,23.5℃,40%,曇,11℃,50,良好,流出 1mAh,Lenovo TAB4 SIM,,,sample_channel,4G:3本,表示,通常,99%,2019-11-19,,2019-11-19 10:39:03(23時間前),2019-11-19 10:29:00(23時間前),2019-11-19 10:38:19(23時間前),2019-06-17 15:00:53(5ヶ月前)
2019-11-20 10:00:39(7分前),000953,AN1-980,中駒新栄レオンビル,本番中,正常,3.0.20,100%,24.5℃,40%,曇,9℃,50,良好,0,Lenovo TAB4 SIM,866423030611047,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-05-14 17:11:57(6ヶ月前),2019-10-16 00:20:02(1ヶ月前),2019-11-10 15:31:45(1週間前),2019-02-22 15:25:25(8ヶ月前)
2019-11-20 10:00:39(7分前),001470,AN1-070,NOVAビル,本番中,正常,3.0.20,100%,24.5℃,40%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030805912,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-07-01 15:40:30(4ヶ月前),2019-11-18 06:22:48(2日前),2019-11-18 06:23:46(2日前),2019-04-12 10:01:11(7ヶ月前)
2019-11-20 10:00:40(7分前),001170,Y4-414,グリーンサラウンドシティ,本番中,正常,3.0.20,100%,26.5℃,0%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030612896,正常,201909_mitsubachi-einekleine,4G:1本,表示,通常,0%,2019-11-17,,2019-03-26 16:25:12(7ヶ月前),2019-11-11 11:02:31(1週間前),2019-11-20 01:36:08(8時間前),2019-03-19 14:46:36(8ヶ月前)
2019-11-20 10:00:40(7分前),000623,OS-791,エイトビル本町,本番中,正常,3.0.20,100%,26℃,20%,曇,11℃,50,良好,充電 250mAh,Huawei T3 10,868355037429429,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-01-25 15:29:14(9ヶ月前),2019-10-31 12:27:50(2週間前),2019-11-18 20:53:15(1日前),2019-01-22 10:32:12(9ヶ月前)
2019-11-20 10:00:41(7分前),001374,A-590,プレール・ドゥーク早稲田,本番中,正常,3.0.20,100%,26℃,40%,曇,11℃,50,良好,流出 9mAh,Lenovo TAB4 SIM,866423030675372,正常,201909_mitsubachi-einekleine,3G:1本,表示,通常,0%,2019-11-17,,2019-05-14 10:07:13(6ヶ月前),2019-11-18 20:12:20(1日前),2019-11-18 20:13:14(1日前),2019-04-09 11:47:23(7ヶ月前)
2019-11-20 10:00:41(7分前),010234,Z6-774,平成若松ビルⅠ,本番中,正常,3.0.20,100%,23.7℃,40%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030752049,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,28%,2019-11-17,,2019-10-01 15:43:45(1ヶ月前),2019-11-10 02:37:42(1週間前),2019-11-10 02:38:33(1週間前),2019-09-12 09:17:53(2ヶ月前)
